# Training Log for model: ResNet18-NAGAdamW_lr0.001_bs128
# Time: 2025-05-29 12:45:01.787196
# Device: cuda
# Optimizer: NAGAdamW
# Initial LR: 0.001
# Batch size: 128
# Extra Info:
#   epochs: 25
#   batch_size: 128
#   augmentation: flip+rotate
#   notes: grid search
epoch,train_acc,val_acc,avg_loss,lr
1,0.8331,0.8139,0.5710,0.001000
2,0.9297,0.7355,0.2260,0.001000
3,0.9557,0.8694,0.1441,0.001000
4,0.9649,0.8637,0.1123,0.001000
5,0.9699,0.8286,0.0963,0.001000
6,0.9708,0.8764,0.0924,0.001000
7,0.9779,0.9339,0.0674,0.001000
8,0.9769,0.9178,0.0729,0.001000
9,0.9794,0.9098,0.0640,0.001000
10,0.9829,0.9059,0.0541,0.001000
11,0.9829,0.9014,0.0532,0.001000
12,0.9807,0.9463,0.0625,0.001000
13,0.9890,0.9441,0.0363,0.001000
14,0.9858,0.9126,0.0458,0.001000
15,0.9831,0.9465,0.0566,0.001000
16,0.9854,0.9378,0.0459,0.001000
17,0.9901,0.9470,0.0323,0.001000
18,0.9895,0.9371,0.0341,0.001000
19,0.9892,0.9372,0.0348,0.001000
20,0.9907,0.9424,0.0310,0.001000
21,0.9850,0.9502,0.0498,0.001000
22,0.9913,0.9518,0.0289,0.001000
23,0.9909,0.9401,0.0294,0.001000
24,0.9894,0.9527,0.0332,0.001000
25,0.9904,0.9344,0.0308,0.001000
[TEST] Final Test Accuracy: 0.9333
