# Training Log for model: ResNet18-SGD_lr0.001_bs64
# Time: 2025-05-29 03:06:29.971576
# Device: cuda
# Optimizer: SGD
# Initial LR: 0.001
# Batch size: 64
# Extra Info:
#   epochs: 25
#   batch_size: 64
#   augmentation: flip+rotate
#   notes: grid search
epoch,train_acc,val_acc,avg_loss,lr
1,0.7637,0.9053,1.0107,0.001000
2,0.9315,0.9456,0.2905,0.001000
3,0.9651,0.9629,0.1707,0.001000
4,0.9810,0.9722,0.1155,0.001000
5,0.9893,0.9743,0.0872,0.001000
6,0.9931,0.9778,0.0720,0.001000
7,0.9946,0.9751,0.0668,0.001000
8,0.9956,0.9766,0.0628,0.001000
9,0.9959,0.9704,0.0638,0.001000
10,0.9955,0.9591,0.0684,0.001000
11,0.9964,0.9647,0.0689,0.001000
12,0.9950,0.9592,0.0783,0.001000
13,0.9927,0.9357,0.0920,0.001000
14,0.9865,0.9639,0.1198,0.001000
15,0.9881,0.9251,0.1160,0.001000
16,0.9843,0.9001,0.1353,0.001000
17,0.9779,0.8535,0.1618,0.001000
18,0.9771,0.9070,0.1658,0.001000
19,0.9793,0.8396,0.1598,0.001000
20,0.9770,0.9154,0.1695,0.001000
21,0.9771,0.8652,0.1721,0.001000
22,0.9700,0.7729,0.1989,0.001000
23,0.9720,0.8830,0.1903,0.001000
24,0.9753,0.8843,0.1778,0.001000
25,0.9719,0.8936,0.1888,0.001000
[TEST] Final Test Accuracy: 0.8947
