# Training Log for model: ResNet18-NAGAdamW_lr0.005_bs32
# Time: 2025-05-29 15:04:50.955416
# Device: cuda
# Optimizer: NAGAdamW
# Initial LR: 0.005
# Batch size: 32
# Extra Info:
#   epochs: 25
#   batch_size: 32
#   augmentation: flip+rotate
#   notes: grid search
epoch,train_acc,val_acc,avg_loss,lr
1,0.1737,0.2730,2.9869,0.005000
2,0.3509,0.3669,2.2014,0.005000
3,0.4978,0.5063,1.6663,0.005000
4,0.6345,0.5890,1.2070,0.005000
5,0.7186,0.6618,0.9098,0.005000
6,0.7799,0.7039,0.7120,0.005000
7,0.8166,0.6403,0.5904,0.005000
8,0.8441,0.7941,0.4975,0.005000
9,0.8655,0.7888,0.4348,0.005000
10,0.8772,0.8225,0.3933,0.005000
11,0.8873,0.8294,0.3611,0.005000
12,0.8951,0.7852,0.3372,0.005000
13,0.9008,0.7762,0.3124,0.005000
14,0.9073,0.8312,0.2912,0.005000
15,0.9076,0.8424,0.2869,0.005000
16,0.9134,0.8632,0.2702,0.005000
17,0.9156,0.6433,0.2611,0.005000
18,0.9180,0.8245,0.2565,0.005000
19,0.9199,0.8232,0.2505,0.005000
20,0.9233,0.8449,0.2413,0.005000
21,0.9239,0.8037,0.2334,0.005000
22,0.9247,0.8454,0.2319,0.005000
23,0.9274,0.8435,0.2323,0.005000
24,0.9279,0.7832,0.2216,0.005000
25,0.9274,0.8306,0.2266,0.005000
[TEST] Final Test Accuracy: 0.8196
