# Training Log for model: ResNet18-SGD_lr0.0001_bs128
# Time: 2025-05-28 19:30:12.520863
# Device: cuda
# Optimizer: SGD
# Initial LR: 0.0001
# Batch size: 128
# Extra Info:
#   epochs: 25
#   batch_size: 128
#   augmentation: flip+rotate
#   notes: grid search
epoch,train_acc,val_acc,avg_loss,lr
1,0.1985,0.4071,3.3051,0.000100
2,0.5419,0.6343,2.2965,0.000100
3,0.6851,0.7191,1.6454,0.000100
4,0.7476,0.7654,1.2726,0.000100
5,0.7804,0.7903,1.0457,0.000100
6,0.8066,0.8095,0.8947,0.000100
7,0.8251,0.8281,0.7852,0.000100
8,0.8410,0.8454,0.7037,0.000100
9,0.8565,0.8586,0.6377,0.000100
10,0.8683,0.8689,0.5853,0.000100
11,0.8781,0.8754,0.5388,0.000100
12,0.8864,0.8844,0.5018,0.000100
13,0.8930,0.8933,0.4682,0.000100
14,0.9011,0.8989,0.4392,0.000100
15,0.9069,0.9038,0.4129,0.000100
16,0.9126,0.9071,0.3883,0.000100
17,0.9172,0.9135,0.3682,0.000100
18,0.9220,0.9181,0.3497,0.000100
19,0.9266,0.9216,0.3316,0.000100
20,0.9305,0.9261,0.3150,0.000100
21,0.9358,0.9292,0.2998,0.000100
22,0.9384,0.9338,0.2859,0.000100
23,0.9423,0.9370,0.2727,0.000100
24,0.9460,0.9404,0.2600,0.000100
25,0.9482,0.9416,0.2508,0.000100
[TEST] Final Test Accuracy: 0.9420
