# Training Log for model: ResNet18-NAGAdamW_lr0.005_bs64
# Time: 2025-05-29 16:07:46.804435
# Device: cuda
# Optimizer: NAGAdamW
# Initial LR: 0.005
# Batch size: 64
# Extra Info:
#   epochs: 25
#   batch_size: 64
#   augmentation: flip+rotate
#   notes: grid search
epoch,train_acc,val_acc,avg_loss,lr
1,0.2162,0.2201,2.8250,0.005000
2,0.4336,0.3554,1.9045,0.005000
3,0.6114,0.4732,1.2725,0.005000
4,0.7365,0.6660,0.8515,0.005000
5,0.8114,0.7326,0.6007,0.005000
6,0.8592,0.7689,0.4433,0.005000
7,0.8897,0.7856,0.3495,0.005000
8,0.9065,0.8296,0.2907,0.005000
9,0.9217,0.7513,0.2429,0.005000
10,0.9294,0.6825,0.2178,0.005000
11,0.9377,0.8252,0.1950,0.005000
12,0.9424,0.7921,0.1759,0.005000
13,0.9473,0.7638,0.1612,0.005000
14,0.9499,0.7663,0.1565,0.005000
15,0.9508,0.7710,0.1527,0.005000
16,0.9523,0.7706,0.1450,0.005000
17,0.9586,0.7911,0.1294,0.005000
18,0.9566,0.8824,0.1327,0.005000
19,0.9611,0.7459,0.1245,0.005000
20,0.9614,0.8275,0.1230,0.005000
21,0.9632,0.8492,0.1139,0.005000
22,0.9628,0.8727,0.1138,0.005000
23,0.9609,0.8253,0.1165,0.005000
24,0.9654,0.7717,0.1048,0.005000
25,0.9663,0.8304,0.1051,0.005000
[TEST] Final Test Accuracy: 0.8135
