# Training Log for model: ResNet18-NAGAdamW_lr0.0001_bs16
# Time: 2025-05-29 00:38:56.305344
# Device: cuda
# Optimizer: NAGAdamW
# Initial LR: 0.0001
# Batch size: 16
# Extra Info:
#   epochs: 25
#   batch_size: 16
#   augmentation: flip+rotate
#   notes: grid search
epoch,train_acc,val_acc,avg_loss,lr
1,0.8529,0.9527,0.5406,0.000100
2,0.9477,0.9442,0.1790,0.000100
3,0.9648,0.9599,0.1187,0.000100
4,0.9735,0.9697,0.0883,0.000100
5,0.9772,0.9697,0.0782,0.000100
6,0.9813,0.9677,0.0622,0.000100
7,0.9832,0.9714,0.0569,0.000100
8,0.9856,0.9699,0.0487,0.000100
9,0.9860,0.9616,0.0460,0.000100
10,0.9860,0.9703,0.0441,0.000100
11,0.9884,0.9704,0.0398,0.000100
12,0.9884,0.9745,0.0372,0.000100
13,0.9894,0.9580,0.0350,0.000100
14,0.9900,0.9680,0.0321,0.000100
15,0.9901,0.9736,0.0319,0.000100
16,0.9902,0.9728,0.0313,0.000100
17,0.9914,0.9655,0.0279,0.000100
18,0.9910,0.9686,0.0290,0.000100
19,0.9921,0.9766,0.0265,0.000100
20,0.9920,0.9721,0.0265,0.000100
21,0.9932,0.9720,0.0236,0.000100
22,0.9931,0.9624,0.0232,0.000100
23,0.9925,0.9678,0.0234,0.000100
24,0.9932,0.9686,0.0223,0.000100
25,0.9931,0.9706,0.0217,0.000100
[TEST] Final Test Accuracy: 0.9703
