# Training Log for model: ResNet18-SGD_lr0.005_bs64
# Time: 2025-05-29 07:26:24.871822
# Device: cuda
# Optimizer: SGD
# Initial LR: 0.005
# Batch size: 64
# Extra Info:
#   epochs: 25
#   batch_size: 64
#   augmentation: flip+rotate
#   notes: grid search
epoch,train_acc,val_acc,avg_loss,lr
1,0.8546,0.8999,0.5476,0.005000
2,0.9251,0.6442,0.2968,0.005000
3,0.8871,0.6129,0.4467,0.005000
4,0.8658,0.6488,0.5425,0.005000
5,0.8579,0.6783,0.5844,0.005000
6,0.8573,0.6208,0.5901,0.005000
7,0.8629,0.5969,0.5729,0.005000
8,0.8700,0.6394,0.5502,0.005000
9,0.8695,0.5777,0.5468,0.005000
10,0.8724,0.6261,0.5352,0.005000
11,0.8784,0.6810,0.5158,0.005000
12,0.8827,0.6149,0.5044,0.005000
13,0.8834,0.6643,0.5008,0.005000
14,0.8826,0.6987,0.4956,0.005000
15,0.8864,0.5812,0.4889,0.005000
16,0.8883,0.5508,0.4840,0.005000
17,0.8894,0.5923,0.4777,0.005000
18,0.8910,0.6970,0.4744,0.005000
19,0.8880,0.6227,0.4794,0.005000
20,0.8893,0.6019,0.4780,0.005000
21,0.8898,0.7073,0.4720,0.005000
22,0.8896,0.6100,0.4699,0.005000
23,0.8912,0.7077,0.4681,0.005000
24,0.8932,0.6947,0.4594,0.005000
25,0.8921,0.6663,0.4650,0.005000
[TEST] Final Test Accuracy: 0.6629
