# Training Log for model: ResNet18-SGD_lr0.001_bs16
# Time: 2025-05-29 00:55:21.156746
# Device: cuda
# Optimizer: SGD
# Initial LR: 0.001
# Batch size: 16
# Extra Info:
#   epochs: 25
#   batch_size: 16
#   augmentation: flip+rotate
#   notes: grid search
epoch,train_acc,val_acc,avg_loss,lr
1,0.8202,0.9229,0.6857,0.001000
2,0.9197,0.9057,0.3308,0.001000
3,0.9105,0.8083,0.3747,0.001000
4,0.8835,0.7827,0.4931,0.001000
5,0.8704,0.7408,0.5541,0.001000
6,0.8637,0.8300,0.5934,0.001000
7,0.8618,0.7905,0.5983,0.001000
8,0.8678,0.8073,0.5884,0.001000
9,0.8684,0.8609,0.5781,0.001000
10,0.8718,0.7331,0.5697,0.001000
11,0.8782,0.7498,0.5449,0.001000
12,0.8803,0.7565,0.5372,0.001000
13,0.8805,0.7864,0.5322,0.001000
14,0.8846,0.8020,0.5180,0.001000
15,0.8875,0.8161,0.5074,0.001000
16,0.8879,0.8072,0.5051,0.001000
17,0.8906,0.8664,0.4914,0.001000
18,0.8909,0.8376,0.4901,0.001000
19,0.8963,0.8034,0.4750,0.001000
20,0.8937,0.8142,0.4793,0.001000
21,0.8939,0.7869,0.4790,0.001000
22,0.8968,0.7381,0.4702,0.001000
23,0.8959,0.8345,0.4733,0.001000
24,0.8963,0.8566,0.4704,0.001000
25,0.8997,0.8478,0.4624,0.001000
[TEST] Final Test Accuracy: 0.8368
