# Training Log for model: ResNet18-SGD_lr0.0001_bs16
# Time: 2025-05-28 16:14:15.358527
# Device: cuda
# Optimizer: SGD
# Initial LR: 0.0001
# Batch size: 16
# Extra Info:
#   epochs: 25
#   batch_size: 16
#   augmentation: flip+rotate
#   notes: grid search
epoch,train_acc,val_acc,avg_loss,lr
1,0.5932,0.8190,1.7868,0.000100
2,0.8136,0.8862,0.7497,0.000100
3,0.8655,0.9174,0.5343,0.000100
4,0.8974,0.9377,0.4144,0.000100
5,0.9214,0.9457,0.3343,0.000100
6,0.9383,0.9585,0.2771,0.000100
7,0.9509,0.9637,0.2335,0.000100
8,0.9593,0.9681,0.2020,0.000100
9,0.9684,0.9714,0.1755,0.000100
10,0.9738,0.9741,0.1564,0.000100
11,0.9785,0.9759,0.1401,0.000100
12,0.9822,0.9757,0.1282,0.000100
13,0.9850,0.9786,0.1173,0.000100
14,0.9871,0.9784,0.1081,0.000100
15,0.9894,0.9798,0.1034,0.000100
16,0.9908,0.9804,0.0962,0.000100
17,0.9922,0.9791,0.0919,0.000100
18,0.9927,0.9803,0.0899,0.000100
19,0.9943,0.9801,0.0870,0.000100
20,0.9949,0.9777,0.0835,0.000100
21,0.9953,0.9806,0.0831,0.000100
22,0.9957,0.9806,0.0817,0.000100
23,0.9963,0.9804,0.0810,0.000100
24,0.9963,0.9818,0.0814,0.000100
25,0.9961,0.9810,0.0823,0.000100
[TEST] Final Test Accuracy: 0.9809
