# Training Log for model: ResNet18-NAGAdamW_lr0.005_bs16
# Time: 2025-05-29 13:48:57.709262
# Device: cuda
# Optimizer: NAGAdamW
# Initial LR: 0.005
# Batch size: 16
# Extra Info:
#   epochs: 25
#   batch_size: 16
#   augmentation: flip+rotate
#   notes: grid search
epoch,train_acc,val_acc,avg_loss,lr
1,0.1536,0.2385,3.0950,0.005000
2,0.3113,0.3702,2.3818,0.005000
3,0.4316,0.4116,1.9275,0.005000
4,0.5417,0.5684,1.5406,0.005000
5,0.6225,0.6032,1.2603,0.005000
6,0.6777,0.5702,1.0648,0.005000
7,0.7183,0.6859,0.9315,0.005000
8,0.7408,0.6987,0.8485,0.005000
9,0.7584,0.7357,0.7874,0.005000
10,0.7760,0.7398,0.7335,0.005000
11,0.7877,0.7639,0.6924,0.005000
12,0.7915,0.7350,0.6718,0.005000
13,0.8007,0.7480,0.6494,0.005000
14,0.8050,0.7273,0.6306,0.005000
15,0.8120,0.7268,0.6108,0.005000
16,0.8143,0.7707,0.5991,0.005000
17,0.8208,0.7793,0.5828,0.005000
18,0.8237,0.8108,0.5725,0.005000
19,0.8232,0.7701,0.5704,0.005000
20,0.8283,0.7191,0.5568,0.005000
21,0.8299,0.7634,0.5510,0.005000
22,0.8307,0.7636,0.5425,0.005000
23,0.8332,0.7822,0.5382,0.005000
24,0.8361,0.7768,0.5290,0.005000
25,0.8380,0.7982,0.5219,0.005000
[TEST] Final Test Accuracy: 0.7971
