# Training Log for model: ResNet18-SGD_lr0.0005_bs64
# Time: 2025-05-28 22:45:14.829934
# Device: cuda
# Optimizer: SGD
# Initial LR: 0.0005
# Batch size: 64
# Extra Info:
#   epochs: 25
#   batch_size: 64
#   augmentation: flip+rotate
#   notes: grid search
epoch,train_acc,val_acc,avg_loss,lr
1,0.6788,0.8525,1.4303,0.000500
2,0.8845,0.9141,0.4794,0.000500
3,0.9294,0.9466,0.3062,0.000500
4,0.9536,0.9617,0.2190,0.000500
5,0.9689,0.9650,0.1641,0.000500
6,0.9790,0.9726,0.1276,0.000500
7,0.9856,0.9716,0.1035,0.000500
8,0.9892,0.9752,0.0884,0.000500
9,0.9925,0.9784,0.0755,0.000500
10,0.9942,0.9775,0.0688,0.000500
11,0.9959,0.9790,0.0628,0.000500
12,0.9968,0.9785,0.0573,0.000500
13,0.9975,0.9794,0.0547,0.000500
14,0.9982,0.9788,0.0523,0.000500
15,0.9983,0.9826,0.0515,0.000500
16,0.9988,0.9814,0.0497,0.000500
17,0.9990,0.9806,0.0503,0.000500
18,0.9989,0.9812,0.0505,0.000500
19,0.9992,0.9825,0.0495,0.000500
20,0.9991,0.9812,0.0518,0.000500
21,0.9991,0.9810,0.0523,0.000500
22,0.9992,0.9826,0.0534,0.000500
23,0.9989,0.9810,0.0568,0.000500
24,0.9991,0.9823,0.0581,0.000500
25,0.9991,0.9727,0.0588,0.000500
[TEST] Final Test Accuracy: 0.9672
