# Training Log for model: ResNet18-NAGAdamW_lr0.001_bs64
# Time: 2025-05-29 11:42:45.104067
# Device: cuda
# Optimizer: NAGAdamW
# Initial LR: 0.001
# Batch size: 64
# Extra Info:
#   epochs: 25
#   batch_size: 64
#   augmentation: flip+rotate
#   notes: grid search
epoch,train_acc,val_acc,avg_loss,lr
1,0.7802,0.7975,0.7483,0.001000
2,0.8970,0.7494,0.3341,0.001000
3,0.9307,0.8171,0.2242,0.001000
4,0.9450,0.8761,0.1757,0.001000
5,0.9517,0.8773,0.1529,0.001000
6,0.9589,0.9091,0.1274,0.001000
7,0.9678,0.8985,0.1034,0.001000
8,0.9691,0.9092,0.0986,0.001000
9,0.9705,0.9020,0.0937,0.001000
10,0.9758,0.9132,0.0768,0.001000
11,0.9760,0.9138,0.0751,0.001000
12,0.9793,0.8991,0.0655,0.001000
13,0.9788,0.9111,0.0664,0.001000
14,0.9824,0.9025,0.0583,0.001000
15,0.9837,0.9456,0.0521,0.001000
16,0.9815,0.9292,0.0578,0.001000
17,0.9834,0.9324,0.0528,0.001000
18,0.9841,0.9245,0.0510,0.001000
19,0.9859,0.9279,0.0443,0.001000
20,0.9875,0.9015,0.0393,0.001000
21,0.9857,0.9240,0.0458,0.001000
22,0.9881,0.9167,0.0404,0.001000
23,0.9869,0.9356,0.0417,0.001000
24,0.9882,0.9253,0.0366,0.001000
25,0.9880,0.9317,0.0383,0.001000
[TEST] Final Test Accuracy: 0.9306
