# Training Log for model: ResNet18-NAGAdamW_lr0.0005_bs64
# Time: 2025-05-29 07:17:08.418235
# Device: cuda
# Optimizer: NAGAdamW
# Initial LR: 0.0005
# Batch size: 64
# Extra Info:
#   epochs: 25
#   batch_size: 64
#   augmentation: flip+rotate
#   notes: grid search
epoch,train_acc,val_acc,avg_loss,lr
1,0.8485,0.8089,0.5237,0.000500
2,0.9355,0.9186,0.2101,0.000500
3,0.9547,0.9160,0.1442,0.000500
4,0.9643,0.9176,0.1161,0.000500
5,0.9721,0.9444,0.0896,0.000500
6,0.9747,0.9288,0.0853,0.000500
7,0.9746,0.9169,0.0811,0.000500
8,0.9798,0.9217,0.0630,0.000500
9,0.9803,0.9227,0.0632,0.000500
10,0.9836,0.9544,0.0526,0.000500
11,0.9811,0.9459,0.0603,0.000500
12,0.9850,0.9232,0.0478,0.000500
13,0.9870,0.9257,0.0421,0.000500
14,0.9852,0.9522,0.0472,0.000500
15,0.9886,0.8761,0.0389,0.000500
16,0.9882,0.8830,0.0372,0.000500
17,0.9880,0.9521,0.0422,0.000500
18,0.9888,0.9428,0.0337,0.000500
19,0.9886,0.9513,0.0382,0.000500
20,0.9917,0.9605,0.0269,0.000500
21,0.9904,0.9473,0.0299,0.000500
22,0.9909,0.9565,0.0292,0.000500
23,0.9901,0.9293,0.0324,0.000500
24,0.9903,0.9320,0.0309,0.000500
25,0.9933,0.9534,0.0214,0.000500
[TEST] Final Test Accuracy: 0.9493
